temperature	top-p	Texte1	Texte2	Texte3	Texte4	Texte5	Texte6	Texte7	Texte8	Texte9	Texte10	Texte11	Texte12	Texte13
2.0	1.0	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.0	0.0	0.2222222222222222	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0
0.6	1.0	0.6666666666666666	0.46153846153846156	0.6666666666666666	0.0	0.0	0.28571428571428564	0.33333333333333326	0.25	0.20689655172413793	0.14285714285714288	0.0	0.0	0.04878048780487805
1.0	0.0	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.13793103448275862	0.0	0.380952380952381	0.39999999999999997	0.25	0.21428571428571427	0.14285714285714288	0.0	0.0	0.04878048780487805
1.0	0.6	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.13333333333333333	0.0	0.47619047619047616	0.39999999999999997	0.25	0.21428571428571427	0.14285714285714288	0.0	0.0	0.05555555555555555
1.4	1.0	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.0	0.0	0.43478260869565216	0.28571428571428575	0.25	0.18181818181818182	0.14285714285714288	0.0	0.0	0.0
1.0	0.8	0.6666666666666666	0.46153846153846156	0.6666666666666666	0.14814814814814817	0.0	0.39999999999999997	0.35294117647058826	0.25	0.21428571428571427	0.14285714285714288	0.0	0.0	0.04081632653061225
1.8	1.0	0.6666666666666666	0.4	0.6666666666666666	0.0	0.0	0.3	0.11111111111111112	0.23529411764705882	0.0	0.0	0.0	0.0	0.0
0.0	1.0	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.13793103448275862	0.0	0.380952380952381	0.39999999999999997	0.25	0.21428571428571427	0.14285714285714288	0.0	0.0	0.05128205128205128
1.2	1.0	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.0	0.0	0.380952380952381	0.33333333333333326	0.2857142857142857	0.2	0.14285714285714288	0.0	0.0	0.05405405405405406
1.6	1.0	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.0	0.0	0.36363636363636365	0.33333333333333326	0.25	0.07692307692307691	0.15384615384615383	0.0	0.0	0.0
0.4	1.0	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.0	0.0	0.3157894736842105	0.39999999999999997	0.25	0.2	0.14285714285714288	0.0	0.0	0.04878048780487805
1.0	0.4	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.13793103448275862	0.0	0.380952380952381	0.39999999999999997	0.25	0.22222222222222224	0.14285714285714288	0.0	0.0	0.04878048780487805
1.0	0.2	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.13793103448275862	0.0	0.28571428571428564	0.39999999999999997	0.25	0.21428571428571427	0.14285714285714288	0.0	0.0	0.05128205128205128
0.8	1.0	0.6666666666666666	0.46153846153846156	0.6666666666666666	0.0	0.0	0.3157894736842105	0.35294117647058826	0.25	0.21428571428571427	0.14285714285714288	0.0	0.0	0.05
1.0	1.0	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.0	0.0	0.28571428571428564	0.25	0.25	0.22222222222222224	0.14285714285714288	0.0	0.0	0.05128205128205128
0.2	1.0	0.6666666666666666	0.18181818181818185	0.6666666666666666	0.0	0.0	0.380952380952381	0.39999999999999997	0.25	0.22222222222222224	0.14285714285714288	0.0	0.0	0.04878048780487805
