Document	kimi	deepseek
Texte1	1.0		1.0	
Texte2	0.13461538461538408		1.0	
Texte3	0.6874999999999999		1.0	
Texte4	0.004629629629629428		0.4285714285714284	
Texte5	0.4791666666666667		0.1666666666666666	
Texte6	0.4791666666666667		0.19960474308300422	
Texte7	0.3073593073593073		1.0	
Texte8	0.5199999999999999		0.711538461538461	
Texte9	0.659090909090909		0.4265232974910394	
Texte10	0.02097902097902099		-0.19999999999999996	
Texte11	0.025974025974025823		1.0	
Texte12	-0.041666666666666706		-0.25	
Texte13	1.0		-0.0400291938019308	
