	repeat-5	repeat-10	repeat-15	repeat-20
100011	-0.25	-0.111111111	-0.071428571	-0.052631579
102904	0.49760765550239194	0.5130910727241004	0.5998565845958381	0.6503935006781636
104329	1	0.6857142857142858	0.7904761904761908	0.8428571428571431
104499	0.12087912087912075	0.19191919191919168	0.385596776901125	0.34311482029882895
105652	-0.25	-0.111111111	-0.071428571	-0.052631579
107172	0.44147644487615334	0.6266799402687909	0.6716323008447636	0.6942194844093481
115183	-0.25	0.20683313975996956	0.20454545454545492	0.23087753045563625
117674	0.18999999999999992	0.26269041965430856	0.26071118968616624	0.3016407685881382
99067	-0.004594762	0.10031488978857206	0.1795354665931509	0.2358110499207936
99107	-0.25	-0.098809524	-0.064057856	-0.036773753
